id,type,keyword,tone_hint,brand_name,detail
001,신기능,"원비 자동청구, 비대면결제",전문적인,수학의문 수학학원,매달 수기로 원비 청구하던 원장님 대상. 수납 스트레스 해결 포인트 강조
002,이벤트,"여름방학 특강, 선착순 30명",긴급한,에듀플러스 영어학원,7월 10일까지만 등록 할인 적용. 마감 임박 강조해주세요
003,후기,"출결 자동화, 시간절약",따뜻한,참좋은 보습학원,10년 운영 원장님 인터뷰 기반. 행정업무 절반으로 줄었다는 후기
004,신기능,"AI 피드백, 학생별 분석",자랑스러운,더큰생각 논술학원,AI가 학생별 학습 피드백 자동 생성. 경쟁사에 없는 차별점 부각
005,이벤트,"원장 추천 이벤트, 적립금 지급",밝은,한울림 음악학원,기존 회원이 동료 원장 추천 시 양쪽 모두 적립금
006,후기,"학부모 만족, 출석 알림",따뜻한,꿈이룸 미술학원,출석 알림 받은 학부모 실제 후기. 아이가 학원 잘 다니는지 안심된다는 반응
007,신기능,"출결 전광판, 수업 집중",전문적인,바른자세 태권도장,입구 전광판에 학생 이름·출석 자동 표시. 수업 중 출석 체크 불필요
008,이벤트,"30일 무료 체험, 신규 가입",긴급한,코딩나무 코딩학원,신규 원장 대상 30일 전액 무료. 강한 CTA로 가입 유도
009,후기,"매출 증가, 원생 증가",자랑스러운,탑클래스 수학학원,도입 3개월 후 매출 20% 상승 사례. 수치 기반 신뢰감 있게
010,신기능,"상담 이력 관리, 학부모 상담",전문적인,마음쑥쑥 심리상담센터,상담 내용 자동 저장. 원장이 지난 상담 잊어버리는 문제 해결
011,이벤트,"신학기 이벤트, 첫 달 무료",밝은,슬기로운 국어학원,3월 신학기 맞이 첫 달 원비 무료. 학부모 안내용 메시지 톤
012,후기,"강사 만족, 수업 준비",친근한,영어마을 어학원,
013,신기능,"학부모 알림, 공지 자동발송",밝은,해맑은 피아노학원,공지를 한 번 쓰면 전체 학부모에게 카톡 자동 발송
014,이벤트,"여름 캠프, 조기등록 할인",긴급한,사이언스랩 과학학원,8월 여름 캠프 조기 등록 시 15% 할인. 정원 마감 임박
015,후기,"행정 자동화, 워라밸",따뜻한,또박또박 글쓰기교실,혼자 운영하는 1인 원장님이 저녁 시간을 되찾은 후기
016,신기능,"매출 분석 리포트, 전환율",전문적인,넘버원 수학전문학원,수납 현황과 상담 전환율을 그래프로 자동 분석
017,이벤트,"가을 특강, 한정 모집",긴박,리딩킹 독서논술,9월 가을 독서 특강 20명 한정. 마감 강조
018,후기,"출결 알림, 학부모 신뢰",따뜻한,푸른솔 보습학원,출결 알림 덕분에 학부모 클레임이 사라졌다는 원장 후기
019,신기능,"보강 관리, 스케줄 자동조정",전문적인,스텝업 영어학원,결석 학생 보강 일정을 자동으로 추천·조정
020,이벤트,"리뷰 작성 이벤트, 기프티콘",밝은,똑똑한 토론학원,
021,후기,"수납 자동화, 미납 감소",자랑스러운,그랜드 수학학원,자동 청구 도입 후 원비 미납률이 절반으로 줄었다는 사례
022,신기능,"학습 패턴 분석, 맞춤 피드백",자랑스러운,브레인업 영재교육,출결·참여도 데이터로 학생별 학습 패턴 자동 분석
023,이벤트,"체험 수업, 무료 진단",밝은,말문트임 스피치학원,무료 체험 수업 + 학습 진단 제공. 신규 원생 유치용
024,후기,"앱 도입, 운영 편의",친근한,행복한 미술교습소,복잡한 행정을 앱 하나로 끝냈다는 솔직한 원장 후기
025,신기능,"원비 자동청구, 비대면결제",전문적인,수학의문 수학학원,매달 수기로 원비 청구하던 원장님 대상. 수납 스트레스 해결 포인트 강조
